motif,index in matrix,number of edges,one binary representation
motif4,193,8,11011011011
,,,
motif4,194,8,11011011101
,,,
motif4,195,8,11011011110
,,,
motif4,196,9,11011011111
,,,
motif4,197,8,11011110110
,,,
motif4,198,9,11011110111
,,,
motif4,199,10,11011111111
,,,
motif4,200,8,11101011011
,,,
motif4,201,9,11101011111
,,,
motif4,202,8,11101110011
,,,
motif4,203,9,11101110111
,,,
motif4,204,9,11101111101
,,,
motif4,205,9,11101111110
,,,
motif4,206,10,11101111111
,,,
motif4,207,9,11111101101
,,,
motif4,208,10,11111101111
,,,
motif4,209,10,11111110111
,,,
motif4,210,11,11111111111
,,,
motif4,211,12,1.11E+11
